order,data_win,data_bova,data_diferente,ticks,cruzados,spread_max,amplitude,salto_max,suspeito
179,2022.03.17,2022.03.17,False,25873,0,30.0,2095.0,125.0,False
180,2022.03.18,2022.03.18,False,19489,0,30.0,2725.0,155.0,False
181,2022.03.21,2022.03.21,False,27350,0,55.0,1085.0,130.0,False
182,2022.03.22,2022.03.22,False,16851,0,35.0,705.0,130.0,False
183,2022.03.23,2022.03.23,False,19331,0,35.0,1235.0,80.0,False
184,2022.03.24,2022.03.24,False,18762,0,55.0,2145.0,120.0,False
185,2022.03.25,2022.03.25,False,22206,0,40.0,1155.0,100.0,False
186,2022.03.28,2022.03.28,False,17131,0,30.0,1185.0,80.0,False
187,2022.03.29,2022.03.29,False,21296,0,35.0,1030.0,70.0,False
188,2022.03.31,2022.03.31,False,15736,0,25.0,925.0,90.0,False
189,2022.04.01,2022.04.01,False,15648,0,15.0,570.0,65.0,False
190,2022.04.04,2022.04.04,False,13305,0,35.0,730.0,70.0,False
191,2022.04.05,2022.04.05,False,20454,0,30.0,2830.0,120.0,False
192,2022.04.06,2022.04.06,False,27596,0,30.0,1765.0,155.0,False
193,2022.04.07,2022.04.07,False,23035,0,30.0,1505.0,75.0,False
194,2022.04.08,2022.04.08,False,19571,0,30.0,1415.0,70.0,False
195,2022.04.11,2022.04.11,False,20548,0,25.0,700.0,65.0,False
196,2022.04.12,2022.04.12,False,21298,0,60.0,2315.0,115.0,False
197,2022.04.18,2022.04.18,False,17281,0,30.0,1120.0,80.0,False
198,2022.04.19,2022.04.19,False,15374,0,30.0,1140.0,125.0,False
199,2022.04.20,2022.04.20,False,16082,0,45.0,1070.0,115.0,False
200,2022.04.22,2022.04.22,False,22024,0,45.0,2320.0,75.0,False
201,2022.04.25,2022.04.25,False,28070,0,30.0,1985.0,95.0,False
202,2022.04.26,2022.04.26,False,21298,0,30.0,2340.0,80.0,False
203,2022.04.27,2022.04.27,False,29785,0,30.0,1210.0,95.0,False
204,2022.04.28,2022.04.28,False,21293,0,25.0,1910.0,75.0,False
205,2022.04.29,2022.04.29,False,26239,0,45.0,2970.0,160.0,False
206,2022.05.02,2022.05.02,False,31649,0,35.0,2815.0,190.0,False
207,2022.05.03,2022.05.03,False,29943,0,25.0,1130.0,95.0,False
208,2022.05.04,2022.05.04,False,26352,0,50.0,2800.0,120.0,False
209,2022.05.05,2022.05.05,False,35578,0,40.0,3160.0,215.0,False
