tag,fold,side,split,thr,n,win_rate,mean_pl,sum_pl
lstm_v2_base,1,sell,val,0.61,830,0.7228915662650602,59.720703125,49568.18359375
lstm_v2_base,1,sell,val,0.62,710,0.7253521126760564,58.632877349853516,41629.34375
lstm_v2_base,1,sell,val,0.63,588,0.7227891156462585,54.35649108886719,31961.6171875
lstm_v2_base,1,sell,val,0.64,484,0.7458677685950413,65.96243286132812,31925.81640625
lstm_v2_base,1,sell,val,0.65,409,0.7310513447432763,59.846405029296875,24477.1796875
lstm_v2_base,1,sell,val,0.66,334,0.7544910179640718,74.96365356445312,25037.861328125
lstm_v2_base,1,sell,val,0.67,282,0.7588652482269503,77.91878509521484,21973.09765625
lstm_v2_base,1,sell,val,0.68,226,0.7566371681415929,83.34410095214844,18835.767578125
lstm_v2_base,1,sell,val,0.69,178,0.7584269662921348,101.8512954711914,18129.53125
lstm_v2_base,1,sell,val,0.7,132,0.7727272727272727,123.21601867675781,16264.5146484375
lstm_v2_base,1,sell,val,0.71,91,0.7362637362637363,117.55994415283203,10697.955078125
lstm_v2_base,1,sell,val,0.72,64,0.71875,148.885986328125,9528.703125
lstm_v2_base,1,sell,val,0.73,43,0.6744186046511628,172.53900146484375,7419.17724609375
lstm_v2_base,1,sell,val,0.74,29,0.8620689655172413,339.1953430175781,9836.6650390625
lstm_v2_base,1,sell,val,0.75,18,0.8888888888888888,540.080322265625,9721.4462890625
lstm_v2_base,1,sell,val,0.76,16,0.875,600.0137939453125,9600.220703125
lstm_v2_base,1,sell,val,0.77,11,1.0,845.4579467773438,9300.037109375
lstm_v2_base,1,sell,val,0.78,10,1.0,827.5545043945312,8275.544921875
lstm_v2_base,1,sell,val,0.79,8,1.0,815.3158569335938,6522.52685546875
lstm_v2_base,1,sell,val,0.8,7,1.0,813.365234375,5693.556640625
lstm_v2_base,1,sell,val,0.81,6,1.0,856.8181762695312,5140.9091796875
lstm_v2_base,1,sell,val,0.82,0,,,0.0
lstm_v2_base,1,sell,val,0.83,0,,,0.0
lstm_v2_base,1,sell,val,0.84,0,,,0.0
lstm_v2_base,1,sell,val,0.85,0,,,0.0
lstm_v2_base,1,sell,val,0.0,13093,0.5571679523409455,11.90774917602539,155908.15625
lstm_v2_base,1,sell,test,0.5,7764,0.5808861411643482,-5.825728416442871,-45230.95703125
lstm_v2_base,1,sell,test,0.51,7060,0.5898016997167139,-5.064967155456543,-35758.66796875
lstm_v2_base,1,sell,test,0.52,6484,0.5985502776064158,-3.9438250064849854,-25571.76171875
lstm_v2_base,1,sell,test,0.53,5939,0.6068361677050008,-3.131089210510254,-18595.5390625
lstm_v2_base,1,sell,test,0.54,5465,0.6155535224153705,-2.314507246017456,-12648.7822265625
lstm_v2_base,1,sell,test,0.55,5086,0.6201337003539127,-1.931705117225647,-9824.65234375
lstm_v2_base,1,sell,test,0.56,4760,0.6226890756302521,-2.354935646057129,-11209.494140625
lstm_v2_base,1,sell,test,0.57,4403,0.6286622757210992,-1.6001713275909424,-7045.55419921875
lstm_v2_base,1,sell,test,0.58,4033,0.6369947929580957,-0.3271881341934204,-1319.5498046875
lstm_v2_base,1,sell,test,0.59,3676,0.6477149075081611,1.4333359003067017,5268.94287109375
lstm_v2_base,1,sell,test,0.6,3409,0.6509240246406571,1.390383243560791,4739.81640625
lstm_v2_base,1,sell,test,0.61,3090,0.6572815533980583,1.9164621829986572,5921.8681640625
lstm_v2_base,1,sell,test,0.62,2794,0.65748031496063,0.7440997362136841,2079.0146484375
lstm_v2_base,1,sell,test,0.63,2514,0.6666666666666666,2.046308994293213,5144.4208984375
lstm_v2_base,1,sell,test,0.64,2266,0.6782877316857899,5.690544128417969,12894.7724609375
lstm_v2_base,1,sell,test,0.65,2023,0.690064260998517,7.9302167892456055,16042.828125
lstm_v2_base,1,sell,test,0.66,1733,0.7080207732256203,10.847335815429688,18798.43359375
lstm_v2_base,1,sell,test,0.67,1479,0.7322515212981744,15.57394027709961,23033.857421875
lstm_v2_base,1,sell,test,0.68,1284,0.7242990654205608,11.556334495544434,14838.333984375
lstm_v2_base,1,sell,test,0.69,1085,0.7244239631336405,10.637025833129883,11541.1728515625
lstm_v2_base,1,sell,test,0.7,870,0.7425287356321839,14.639768600463867,12736.5986328125
lstm_v2_base,1,sell,test,0.71,688,0.7572674418604651,17.654245376586914,12146.12109375
lstm_v2_base,1,sell,test,0.72,520,0.7692307692307693,19.63404655456543,10209.7041015625
lstm_v2_base,1,sell,test,0.73,385,0.7662337662337663,16.482576370239258,6345.7919921875
lstm_v2_base,1,sell,test,0.74,277,0.779783393501805,18.239736557006836,5052.4072265625
lstm_v2_base,1,sell,test,0.75,186,0.7526881720430108,8.484134674072266,1578.049072265625
lstm_v2_base,1,sell,test,0.76,129,0.7751937984496124,20.781164169311523,2680.770263671875
lstm_v2_base,1,sell,test,0.77,75,0.84,53.5804328918457,4018.532470703125
lstm_v2_base,1,sell,test,0.78,45,0.8666666666666667,66.02395629882812,2971.077880859375
lstm_v2_base,1,sell,test,0.79,27,0.8518518518518519,59.17295837402344,1597.669921875
lstm_v2_base,1,sell,test,0.8,12,1.0,133.3489227294922,1600.18701171875
lstm_v2_base,1,sell,test,0.81,5,1.0,214.7199249267578,1073.599609375
lstm_v2_base,1,sell,test,0.82,4,1.0,236.30499267578125,945.219970703125
lstm_v2_base,1,sell,test,0.83,0,,,0.0
lstm_v2_base,1,sell,test,0.84,0,,,0.0
lstm_v2_base,1,sell,test,0.85,0,,,0.0
lstm_v2_base,1,sell,test,0.0,23688,0.5183215130023641,-2.5486481189727783,-60372.375
lstm_v2_base,2,buy,val,0.5,4107,0.5967859751643535,-11.891935348510742,-48840.1796875
lstm_v2_base,2,buy,val,0.51,3806,0.6014188124014713,-13.050335884094238,-49669.578125
lstm_v2_base,2,buy,val,0.52,3494,0.6050372066399542,-13.386530876159668,-46772.5390625
lstm_v2_base,2,buy,val,0.53,3208,0.6062967581047382,-14.675942420959473,-47080.421875
lstm_v2_base,2,buy,val,0.54,2941,0.6140768446106767,-13.255938529968262,-38985.71484375
lstm_v2_base,2,buy,val,0.55,2687,0.6192780052102717,-11.251428604125977,-30232.587890625
lstm_v2_base,2,buy,val,0.56,2441,0.6194182712003278,-12.336557388305664,-30113.537109375
lstm_v2_base,2,buy,val,0.57,2196,0.6243169398907104,-11.87795639038086,-26083.9921875
lstm_v2_base,2,buy,val,0.58,1992,0.6280120481927711,-10.16301155090332,-20244.71875
lstm_v2_base,2,buy,val,0.59,1782,0.6318742985409652,-12.024456977844238,-21427.58203125
lstm_v2_base,2,buy,val,0.6,1600,0.633125,-12.206818580627441,-19530.91015625
lstm_v2_base,2,buy,val,0.61,1398,0.628755364806867,-15.72624397277832,-21985.2890625
lstm_v2_base,2,buy,val,0.62,1230,0.6300813008130082,-16.875110626220703,-20756.38671875
lstm_v2_base,2,buy,val,0.63,1068,0.6245318352059925,-19.878528594970703,-21230.26953125
lstm_v2_base,2,buy,val,0.64,918,0.6328976034858388,-17.34107780456543,-15919.109375
lstm_v2_base,2,buy,val,0.65,780,0.6448717948717949,-11.737184524536133,-9155.00390625
lstm_v2_base,2,buy,val,0.66,653,0.664624808575804,-4.541332721710205,-2965.490234375
lstm_v2_base,2,buy,val,0.67,556,0.6654676258992805,-3.546100378036499,-1971.6318359375
lstm_v2_base,2,buy,val,0.68,445,0.6808988764044944,1.3710564374923706,610.1201171875
lstm_v2_base,2,buy,val,0.69,335,0.6925373134328359,4.7667646408081055,1596.8662109375
lstm_v2_base,2,buy,val,0.7,251,0.6892430278884463,4.430846691131592,1112.142578125
lstm_v2_base,2,buy,val,0.71,198,0.702020202020202,12.144888877868652,2404.68798828125
lstm_v2_base,2,buy,val,0.72,147,0.7210884353741497,25.827468872070312,3796.637939453125
lstm_v2_base,2,buy,val,0.73,103,0.7281553398058253,48.41848373413086,4987.10400390625
lstm_v2_base,2,buy,val,0.74,70,0.7285714285714285,53.074310302734375,3715.20166015625
lstm_v2_base,2,buy,val,0.75,51,0.7058823529411765,38.66778564453125,1972.05712890625
lstm_v2_base,2,buy,val,0.76,35,0.6857142857142857,32.77072525024414,1146.975341796875
lstm_v2_base,2,buy,val,0.77,15,0.6,39.68143844604492,595.2215576171875
lstm_v2_base,2,buy,val,0.78,6,0.5,-63.3745231628418,-380.24713134765625
lstm_v2_base,2,buy,val,0.79,2,0.5,-116.85063171386719,-233.70126342773438
lstm_v2_base,2,buy,val,0.8,0,,,0.0
lstm_v2_base,2,buy,val,0.81,0,,,0.0
lstm_v2_base,2,buy,val,0.82,0,,,0.0
lstm_v2_base,2,buy,val,0.83,0,,,0.0
lstm_v2_base,2,buy,val,0.84,0,,,0.0
lstm_v2_base,2,buy,val,0.85,0,,,0.0
