sigma,Re,Ri,n,spread_med,d_med,SG_med,SL_med,SG/spread_med,win_bidask,win_mid,pl_bidask,pl_mid,pl_real,custo_spread(mid-bidask),spread_medio
2.0,0.5,1.5,4203.0,5.0,155.37634235597216,77.68817117798608,233.06451353395823,14.890273070003605,0.7113966214608612,0.733999524149417,-6.735207787286964,-0.3567967565131972,-5.113014513442779,6.3784110307737665,5.518677135379491
2.0,0.75,0.5,7025.0,5.0,181.1233151552151,135.84248636641132,90.56165757760755,25.790330159540463,0.3900355871886121,0.41480427046263346,-1.456187314694006,3.651434209277682,-3.7701067615658364,5.107621523971688,5.593594306049822
2.0,0.75,1.0,4243.0,5.0,175.690520316115,131.76789023708625,175.690520316115,24.954412307231543,0.5580956870139052,0.5741220834315343,-1.302536989229951,3.241950221053573,-1.333961819467358,4.544487210283524,5.530285175583313
2.0,0.75,1.5,3145.0,5.0,173.12196067707555,129.84147050780666,259.6829410156133,23.994355102070404,0.6346581875993641,0.6467408585055644,-4.274557069741912,-0.4464923438475691,-3.424483306836248,3.828064725894343,5.594594594594595
2.0,0.9,0.5,6298.0,5.0,189.7923433436663,170.81310900929967,94.89617167183314,32.31771892344739,0.35265163543982214,0.37472213401079707,-0.867717067432421,4.65547451584,-3.6543347094315655,5.523191583272421,5.627183232772309
2.0,0.9,1.0,3565.0,5.0,186.98682151136745,168.2881393602307,186.98682151136745,31.866538657691272,0.5166900420757363,0.5318373071528751,-0.4154635171913053,4.4815103729040295,-1.2230014025245441,4.896973890095335,5.546984572230014
2.0,0.9,1.5,2671.0,5.0,184.17748513702827,165.75973662332544,276.2662277055424,31.08938126837224,0.595282665668289,0.6050168476226132,-2.386953120081057,1.3817197821435176,-1.915013103706477,3.7686729022245746,5.5990265818045675
2.5,0.5,0.5,4799.0,5.0,193.37718305099406,96.68859152549703,96.68859152549703,18.473410448520735,0.4830172952698479,0.5113565326109606,-1.984209940802523,3.183526066120884,-3.349656178370494,5.167736006923407,5.579287351531569
2.5,0.5,1.0,3313.0,5.0,183.235412856724,91.617706428362,183.235412856724,17.645957373648706,0.6365831572592816,0.6607304557802596,-4.329241755281668,2.149655405259781,-3.6417144581949894,6.4788971605414485,5.561424690612737
2.5,0.5,1.5,2810.0,5.0,179.82358851426397,89.91179425713199,269.73538277139596,17.147615416953343,0.7241992882562278,0.7366548042704626,0.315142514102334,3.531592164699406,2.090747330960854,3.216449650597072,5.55338078291815
2.5,0.75,0.5,4358.0,5.0,198.81435175157094,149.1107638136782,99.40717587578547,28.27091738921117,0.3919229004130335,0.4153281321707205,-1.49444048510713,3.7407960810456378,-3.981184029371271,5.235236566152768,5.589720055071133
2.5,0.75,1.0,2838.0,5.0,191.5347625835493,143.65107193766198,191.5347625835493,27.57280080946366,0.5482734319943622,0.5697674418604651,-4.182740530481851,2.1971564430724864,-4.3446088794926006,6.379896973554338,5.606060606060606
2.5,0.75,1.5,2210.0,5.0,188.47278259474115,141.35458694605586,282.7091738921117,27.101150294540275,0.6411764705882353,0.6588235294117647,0.7827096100994658,6.20143448311892,1.592760180995475,5.418724873019454,5.572398190045249
