order,date,n_ticks,win_move,fair_move,misp_open,misp_close,long_hold_pnl,short_hold_pnl
96,2021-10-19,40406,-1107.5,-1148.0794144130923,-43.23477849418123,-2.655364081088919,-1115.0,1095.0
97,2021-10-20,48963,165.0,154.25181427650386,-2.520262612903025,8.22792311059311,157.5,-172.5
98,2021-10-21,53817,-1532.5,-1504.2740602018603,18.42248621149338,-9.803453586646356,-1522.5,1502.5
99,2021-10-22,65374,710.0,613.9537127107615,-15.92108600071515,80.12520128852339,687.5,-702.5
100,2021-10-25,46406,1292.5,1260.9769127072796,-18.41405853071774,13.109028762002708,1282.5,-1302.5
101,2021-10-26,43566,-705.0,-718.7448971972626,0.9762135940691223,14.72111079133174,-722.5,707.5
102,2021-10-27,34325,-1360.0,-1330.2905894611613,-7.57428878187784,-37.28369932071655,-1362.5,1347.5
103,2021-10-28,50980,-265.0,-264.7918409361155,-11.132044861878967,-11.34020392576349,-262.5,247.5
104,2021-10-29,50396,-1925.0,-1900.8558070792933,-0.5366450785659254,-24.680837999272626,-1950.0,1935.0
105,2021-11-01,39561,1080.0,1071.292633634992,-0.6848089609411545,8.022557404066902,1072.5,-1087.5
106,2021-11-03,52525,1950.0,1940.6824347181828,-18.11120589094935,-8.793640609132126,1942.5,-1957.5
107,2021-11-04,39722,-1335.0,-1337.484346733996,-21.20548050031357,-18.721133766317507,-1342.5,1327.5
108,2021-11-05,37630,-30.0,-48.39225523111236,-0.16909595507604536,18.223159276036313,-37.5,22.5
109,2021-11-08,31221,212.5,197.09439496269624,3.915540923990193,19.32114596129395,197.5,-217.5
110,2021-11-09,36601,-515.0,-487.5955061003624,18.713330700498773,-8.691163199138828,-527.5,512.5
111,2021-11-10,38989,840.0,859.5566381892568,4.328496111658751,-15.228142077598022,832.5,-847.5
112,2021-11-11,31923,-285.0,-300.41403941570024,-26.81632662047923,-11.402287204778986,-292.5,277.5
113,2021-11-12,33668,-1135.0,-1132.991956673708,-18.364714625669876,-20.37275795196183,-1140.0,1125.0
114,2021-11-16,31469,-1245.0,-1254.2485303487629,-7.739504846758791,1.5090255020040786,-1252.5,1237.5
115,2021-11-17,35815,-1860.0,-1861.888243448906,-13.908578532878892,-12.020335083972896,-1862.5,1847.5
116,2021-11-18,41047,-1295.0,-1268.9063143060484,23.90328801595024,-2.190397678001318,-1312.5,1297.5
117,2021-11-19,34036,265.0,275.36580274271546,23.622151792922523,13.256349050207064,257.5,-272.5
118,2021-11-22,35832,-1000.0,-1018.5966249473277,-15.5123382518359,3.0842866954917554,-1012.5,997.5
119,2021-11-23,49451,205.0,204.5163177640061,1.3722602964262478,1.8559425324201584,207.5,-222.5
120,2021-11-24,43171,1165.0,1177.2362138973403,5.447846947645303,-6.788366949695046,1157.5,-1172.5
121,2021-11-25,31831,840.0,868.0498132936191,21.492051002773223,-6.557762290845858,837.5,-852.5
122,2021-11-26,39746,-642.5,-617.512525871367,24.080031053861603,-0.9074430747714359,-650.0,630.0
123,2021-11-29,32990,-265.0,-253.04816224020033,11.25119414665096,-0.7006436131487135,-267.5,252.5
124,2021-11-30,46282,-1597.5,-1568.305680042642,22.942898320645327,-6.251421636712621,-1605.0,1585.0
125,2021-12-01,43821,-2395.0,-2353.830093848359,31.43579310842324,-9.734113043217803,-2397.5,2382.5
126,2021-12-02,46174,1415.0,1429.4095320860652,-3.129878941079369,-17.539411027144524,1412.5,-1427.5
127,2021-12-03,56225,-1132.5,-1140.5626189453324,10.750272917604889,18.81289186293725,-1147.5,1127.5
128,2021-12-17,32399,-20.0,-79.36057110823458,-28.82052394474158,30.540047163493,-27.5,12.5
129,2021-12-20,38355,-445.0,-428.53714059802587,33.791869482491165,17.329010080517037,-467.5,452.5
130,2021-12-21,26539,-20.0,-30.658106584785855,-8.270614009918063,2.3874925748677924,-27.5,12.5
131,2021-12-22,23104,220.0,262.97819214331685,12.093898784805788,-30.88429335851106,212.5,-227.5
